Name,Completion Date (B1),Lifecycle Cost ($M),Planned Cost ($ M),Projected/Actual Cost ($ M)
Department of the Treasury,2011-09-30,5.117,5.117,9.23
Department of the Treasury,2012-09-30,357.336,152.79,153.59
Department of the Treasury,2012-09-30,20.87,17.827732,16.860007
Department of the Treasury,2012-04-30,2.48,2.48,2.664
Department of the Treasury,2013-10-08,6.823,6.822,6.822
Department of the Treasury,2012-09-30,0.5,0.5,0.52522
Department of the Treasury,2012-09-30,2.074,2.074,2.0281
Department of the Treasury,2012-03-31,1.927104,1.927104,1.842348
Department of the Treasury,2012-09-30,4.119,4.119,4.119
Department of the Treasury,2014-08-15,2.808971,2.724763,2.724763
Department of the Treasury,2012-09-30,1.45,1.45,1.468854
Department of the Treasury,2016-01-08,22,22,22
Department of the Treasury,2012-01-06,26.744,11.862,11.862
Department of the Treasury,2021-09-30,73.582,10.832,11.295
Department of the Treasury,2012-09-30,8.798,8.7868,8.803676
Department of the Treasury,2012-05-18,1.926,0.9,0.768822
Department of the Treasury,2012-05-31,3.731416,3.721263,2.458309
Department of the Treasury,2012-06-30,0.04,0.04,0.04
Department of the Treasury,2011-09-30,3.06,3.06,5.986
Department of the Treasury,2012-09-30,5.102,5.102,4.98369
Department of the Treasury,2012-12-31,19.66,19.66,19.66
Department of the Treasury,2015-03-31,220.814,78.42,78.42
Department of the Treasury,2013-09-03,2.443,2.443,2.443
Department of the Treasury,2011-10-13,2.861306,2.861306,3.060521
Department of the Treasury,2013-02-17,16.86,16.86,17.058389
Department of the Treasury,2011-12-30,0.2,0.2,0.388
Department of the Treasury,2012-09-30,5.178,5.177,5.235866
Department of the Treasury,2012-09-30,1.661,1.653,1.659703
Department of the Treasury,2012-03-31,0.79,0.79,0.79
Department of the Treasury,2012-03-31,0.958,0.958,0.958
Department of the Treasury,2012-03-31,0.575,0.575,0
Department of the Treasury,2012-09-17,1.15,1.15,1.384
Department of the Treasury,2012-09-30,1.927104,1.927104,1.894637
Department of the Treasury,2012-03-31,0.95,0.949196,0.880864
Department of the Treasury,2012-12-31,0.62,0.619,0.619
Department of the Treasury,2011-12-31,0.27,0.27,0.260313
Department of the Treasury,2012-09-30,0.84,0.84,0.791463
Department of the Treasury,2012-09-30,3.095,3.095,2.145555
Department of the Treasury,2012-09-30,1.899,1.899,1.924857
Department of the Treasury,2012-09-30,0.429,0.429,0.402856
Department of the Treasury,2014-01-04,23.51,8.75,8.75
Department of the Treasury,2013-04-30,9.983151,9.983151,9.846171
Department of the Treasury,2012-11-30,2.255253,2.255253,2.249534
Department of the Treasury,2013-05-31,2.094166,2.094166,2.028973
Department of the Treasury,2012-09-30,3.281694,3.281694,3.281694
Department of the Treasury,2013-09-30,46.21,22.79465,22.894274
Department of the Treasury,2013-01-01,5.6,5.6,5.6
Department of the Treasury,2015-09-30,100,4.75,4.75
Department of the Treasury,2012-12-29,28.05,28.05,27.543
Department of the Treasury,2012-02-03,0.04,0.04,0.04
Department of the Treasury,2011-03-12,3.990648,3.990647,3.842734
Department of the Treasury,2012-12-14,3.538811,3.538811,3.184111
Department of the Treasury,2013-07-31,4.590668,0.304713,0.304713
Department of the Treasury,2012-09-30,2.902,2.901,2.76
Department of the Treasury,2012-09-30,4.428,4.424,4.328
Department of the Treasury,2012-09-30,0.278,0.278,0.277
Department of the Treasury,2013-12-07,2.619056,2.39921,2.683797
Department of the Treasury,2012-04-14,1.0143,1.0143,1.105994
Department of the Treasury,2013-09-02,4.1196,4.1196,3.677351
Department of the Treasury,2013-06-15,3.19865,3.05609,3.170562
Department of the Treasury,2013-11-29,1.3799,0.7413,0.622481
Department of the Treasury,2011-10-31,0.001,0.001,0.012681
Department of the Treasury,2012-10-09,0.8347,0.8347,0.649473
Department of the Treasury,2013-07-13,2.4432,1.9763,1.545542
Department of the Treasury,2014-09-20,2.423,2.37514,2.327292
Department of the Treasury,2012-08-12,7.13166,7.07166,7.00998
Department of the Treasury,2012-05-18,2.82,0.9,0.720334
Department of the Treasury,2011-10-30,0.1,0.1,0.0211
Department of the Treasury,2011-10-30,0.1,0.1,0
Department of the Treasury,2012-02-28,4.15,12.451,10.909
Department of the Treasury,2012-07-31,6.028282,6.028282,6.028282
Department of the Treasury,2012-04-30,3.812,3.812,3.812
Department of the Treasury,2013-09-30,6.866,6.866,6.427668
Department of the Treasury,2013-09-30,76.411,44,44.252549
Department of the Treasury,2012-08-31,1,1,1
Department of the Treasury,2012-09-30,7.775,7.775,7.944
Department of the Treasury,2013-03-29,14.43,11.8153,11.815318
Department of the Treasury,2014-01-10,15.4,11.5,11.08
Department of the Treasury,2012-07-30,2.435226,2.435226,2.086182
Department of the Treasury,2013-04-05,2.976311,2.97631,2.97631
Department of the Treasury,2013-02-28,5.171101,5.171101,5.033383
Department of the Treasury,2016-09-30,66.263938,31.313438,31.313438
Department of the Treasury,2015-09-30,59.886645,16.636132,16.636132
Department of the Treasury,2012-12-31,0.978,0.978,0.978
Department of the Treasury,2013-12-31,14.655,14.655,14.655
Department of the Treasury,2012-09-30,9.707,9.707,9.707
Department of the Treasury,2013-09-30,4.737,4.737,4.737
Department of the Treasury,2014-09-30,8.314,8.314,8.314
Department of the Treasury,2013-09-30,0.334,0.334,0.334
Department of the Treasury,2013-09-02,0.492,0.492,0.492
Department of the Treasury,2013-07-15,0.638,0.638,0.638
Department of Transportation,2012-09-30,20.97,1.92395,0.8715
Department of Transportation,2012-09-30,0.6,0.42,0.42
Department of Transportation,2011-09-30,1.027,1.027,1.128
Department of Transportation,2011-11-30,3.353,3.353,3.261
Department of Transportation,2014-09-30,5.31,0.242,0.133978
Department of Transportation,2011-09-30,8,8,7.5
Department of Transportation,2012-09-30,28.088267,28.088266,25.925296
Department of Transportation,2012-01-31,11.075,2.2,2.18048
Department of Transportation,2013-03-31,17.515,12.215,14.594
Department of Transportation,2013-09-30,9.5,5,4.07
Department of Transportation,2013-09-30,7.5,0.5,0.5
Department of Transportation,2011-09-30,2.5,2.5,2.507
Department of Transportation,2011-09-30,3,3,3.108
Department of Transportation,2012-09-30,22.376197,22.376197,22.269866
Department of Transportation,2011-07-21,13.2,0.105,0.105
Department of Transportation,2012-09-30,1.353684,1.353684,1.353684
Department of Transportation,2016-09-30,44.6,2.37,2.37
Department of Transportation,2012-09-30,4.276,0.096,0.095161
Department of Transportation,2014-09-30,6,1.539,1.557162
Department of Transportation,2014-12-31,6.54,4.685,4.683
Department of Transportation,2013-03-20,2.387,2.387,2.2695
Department of Transportation,2013-12-31,2.171,1.274,1.315375
Department of Transportation,2012-09-30,53.709,10.96,10.96
Department of Transportation,2014-09-30,1,0.25,0.275
Department of Transportation,2011-09-22,3.674,0.287,0.299
Department of Transportation,2014-09-30,2622.4,198.60104,232.548
Department of Transportation,2013-03-31,5,5,5
Department of Transportation,2013-09-30,10,10,10
Department of Transportation,2012-04-30,7.416827,5.860488,5.973587
Department of Transportation,2012-09-30,7.148947,7.148947,7.621442
Department of Transportation,2013-03-31,6.853979,4.40426,4.40426
Department of Transportation,2013-08-31,5.504064,2.293971,2.293971
Department of Transportation,2014-01-31,5.198326,2.12438,2.12438
Department of Transportation,2012-10-24,23.55,16.928,15.659
Department of Transportation,2013-01-14,4.668,4.157,4.302
Department of Transportation,2013-06-30,5.13,4.104,2.879
Department of Transportation,2011-07-30,2.87,0.74,0.74
Department of Transportation,2011-11-30,0.791,0.791,0.791
Department of Transportation,2012-02-07,0.873,0.873,0.875
Department of Transportation,2012-03-19,0.59,0.347,0.327
Department of Transportation,2012-07-20,0.491,0.491,0.418
Department of Transportation,2013-03-03,7.473,5.48,4.626
Department of Transportation,2013-09-19,1.587,0.476,0.464
Department of Transportation,2014-02-28,6.245,1.249,0.725
Department of Transportation,2014-06-30,28.759,4.314,4.383
Department of Transportation,2011-12-31,3.135645,3.135644,3.137219
Department of Transportation,2012-08-31,5.703087,5.703087,6.2409
Department of Transportation,2012-09-30,0.55,0.55,0.55
Department of Transportation,2013-06-30,15,8.8,9.301939
Department of Transportation,2014-12-31,10,3.791,3.814695
Department of Transportation,2012-09-30,20.120384,20.120384,25.407394
Department of Transportation,2012-09-30,14.608886,12.744734,15.004024
Department of Transportation,2012-09-30,2.505128,2.505128,2.550497
Department of Transportation,2012-09-30,22.186346,22.186346,18.575752
Department of Transportation,2012-09-30,7.131407,7.131407,5.542387
Department of Transportation,2012-09-30,3.092484,3.092484,3.005308
Department of Transportation,2012-09-30,8.713913,2.827673,2.099403
Department of Transportation,2012-09-30,15.799774,15.799774,15.136555
Department of Transportation,2012-09-30,4.3494,2.5719,3.253733
Department of Transportation,2012-09-30,7.619988,6.959988,6.560988
Department of Transportation,2012-09-30,1.15,1.15,1.15
Department of Transportation,2012-09-30,12.592812,12.592812,11.345238
Department of Transportation,2012-09-30,4.4795,4.4795,4.07
Department of Transportation,2012-09-30,29.4055,29.4055,27.112701
Department of Transportation,2012-09-30,1.6,1.6,1.6
Department of Transportation,2012-09-30,10.203749,8.096188,10.362322
Department of Transportation,2012-09-30,4.600947,4.600947,8.285598
Department of Transportation,2012-09-30,5.989489,5.716931,2.946747
Department of Transportation,2012-09-30,3.11816,3.11816,2.609219
Department of Transportation,2012-09-30,9.019765,9.019765,6.969742
Department of Transportation,2012-09-30,8.072247,7.747247,7.755171
Department of Transportation,2012-09-30,1.1,1.1,1.1
Department of Transportation,2012-09-30,10.029354,10.029354,9.677375
Department of Transportation,2012-09-30,11.761813,11.761813,11.173862
Department of Transportation,2012-09-30,20.295929,20.295929,18.719569
Department of Transportation,2012-09-30,7.691524,7.691524,7.029048
Department of Transportation,2012-09-30,15.580002,15.580002,18.460485
Department of Transportation,2012-09-30,13.24969,13.24969,13.244256
Department of Transportation,2012-09-30,3.384274,3.384274,3.040551
Department of Transportation,2012-09-30,10.59037,10.585474,7.701822
Department of Transportation,2012-09-30,27.76489,27.76489,31.215734
Department of Transportation,2012-03-26,5.921,5.921,5.921
Department of Transportation,2012-05-29,2.759,2.759,2.759
Department of Transportation,2011-01-11,3.423,3.423,3.423
Department of Transportation,2012-09-30,46.32,46.32,46.32
Department of Transportation,2016-09-30,32.4,8,6
Department of Transportation,2015-06-30,20.9,3.875,3.875
Department of Transportation,2015-09-30,13.4,0.5,0.5
Department of Transportation,2013-09-30,5.6,0.495,0.495
Department of Transportation,2015-04-30,6.379,2.064,2.573
Department of Transportation,2011-08-22,4.772,3.789,3.789
Department of Transportation,2010-01-18,1.238,0.68,0.609
Department of Transportation,2012-03-30,1.575,0.979,0.942
Department of Transportation,2012-11-13,10.094,7.328,7.114
Department of Transportation,2013-02-19,2.985,2.985,2.657
Department of Transportation,2013-05-29,6.194,4.535,3.182
Department of Transportation,2012-09-28,3.57573,3.57573,3.52573
Department of Transportation,2012-09-28,1.721284,1.721284,1.641284
Department of Transportation,2013-02-13,1.673141,1.673141,2.207414
Department of Transportation,2013-12-19,5.458519,5.458519,5.257019
Department of Transportation,2013-03-13,1.905005,1.843647,1.728647
Department of Transportation,2012-09-28,1.239666,1.239666,1.478488
Department of Transportation,2012-09-28,0.750953,0.750953,0.746058
Department of Transportation,2012-09-28,0.310057,0.310057,0.278057
Department of Transportation,2012-09-28,1.992704,1.992704,1.788488
Department of Transportation,2012-10-31,0.115838,0.115838,0.115838
Department of Transportation,2012-09-28,0.492276,0.492276,0.492276
Department of Transportation,2012-09-28,0.557325,0.557324,0.557324
Department of Transportation,2012-09-28,0.205024,0.205024,0.098638
Department of Transportation,2012-09-28,0.400654,0.400654,0.331368
Department of Transportation,2012-09-05,0.094825,0.094825,0.094825
Department of Transportation,2012-02-28,19.611,19.611,20.410702
Department of Transportation,2017-09-30,26,1.155,1.155
Department of Transportation,2017-09-30,246,32.85,32.85
Department of Transportation,2014-06-30,22,0.5,0.5
Department of Transportation,2012-06-30,3,0.4,0.4
Department of Transportation,2015-04-20,27,7.2,7.2
Department of Transportation,2015-03-27,111,0.669,0.669
Department of Transportation,2012-09-30,18.214,18.214,18.212445
Department of Transportation,2012-09-30,0.115,0.115,0.115
Department of Transportation,2012-09-30,0.65,0.65,0.65
Department of Transportation,2012-10-30,4.60456,4.331174,4.225442
Department of Transportation,2013-10-30,1.571303,1.015319,1.015319
Department of Transportation,2013-07-30,4.547075,4.21708,3.991269
Department of Transportation,2013-09-30,5.961694,1.815125,1.478481
Department of Transportation,2015-03-16,2.038441,0.277126,0.277126
Department of Transportation,2016-05-11,24.171919,0.098914,0.098914
Department of Transportation,2013-06-30,9.109222,7.951419,7.509134
Department of Transportation,2012-06-30,3.489873,3.489873,2.798826
Department of Transportation,2013-01-31,80.567407,72.441127,72.092036
Department of Transportation,2014-09-30,142.149761,27.942732,19.7913
Department of Transportation,2014-09-30,104.430457,17.707637,17.420569
Department of Transportation,2013-09-30,5.939655,5.939655,5.939655
Department of Transportation,2014-09-30,23.028607,21.649915,18.510677
Department of Transportation,2013-08-31,13.947928,10.200066,10.142716
Department of Transportation,2013-09-30,3.432272,1.909765,1.706301
Department of Transportation,2013-09-30,6.775212,4.205439,4.045277
Department of Transportation,2013-01-31,11.04198,8.718683,7.87199
Department of Transportation,2013-12-31,182.852142,110.494959,104.96837
Department of Transportation,2014-09-30,590.038743,241.680509,232.127067
Department of Transportation,2014-12-31,11.2,3.767,3.763
Department of Transportation,2011-11-15,8.402,1.096,1.561
Department of Transportation,2012-05-30,15.88931,11.91698,11.756117
Department of Transportation,2012-12-15,16.55073,11.58528,11.297907
Department of Transportation,2013-09-30,17.686,2.149,2.149
Department of Transportation,2012-12-15,10.324,7.2266,7.199054
Department of Transportation,2015-12-15,34.48,2.56,2.56
Department of Transportation,2013-04-16,23.375,10.347,10.347
Department of Transportation,2014-03-31,8,5,5
Department of Transportation,2013-09-30,23.8,23.8,23.8
Department of Transportation,2013-09-30,95.77,20.141,20.141
Department of Transportation,2013-09-30,16.32,16.27,16.32
Department of Transportation,2011-12-31,0.45,0.45,0.45
Department of Transportation,2012-09-30,0.5,0.5,0.5
Department of Transportation,2011-10-31,6.21,6.21,6.112
Department of Transportation,2012-03-31,3.641,3.641,3.662
Department of Transportation,2012-12-31,4.568,4.568,4.552
Department of Transportation,2015-09-30,32.67,1.634,1.634
Department of Transportation,2013-07-31,23.409406,23.409406,23.409406
Department of Transportation,2013-07-31,47.158435,47.158435,47.158435
Department of Transportation,2012-04-30,17.32905,17.32905,17.32905
Department of Transportation,2013-02-28,55.275485,55.275485,55.275485
Department of Transportation,2013-09-30,1.45584,1.45584,1.45584
Department of Transportation,2012-09-30,4.5,4.5,4.5
Department of Transportation,2013-09-30,1.6,1.6,1.6
Department of Transportation,2012-09-30,0.12,0.02,0.0192
Department of Transportation,2013-09-30,0.86,0.86,0.86
Department of Transportation,2013-09-30,6,6,6
Department of Transportation,2012-10-31,0.497,0.488,0.488
Department of Transportation,2013-09-30,0.053,0.053,0.053
Department of Transportation,2011-10-31,0.35754,0.35754,0.19554
Department of Transportation,2012-09-30,0.224,0.224,0.224
Department of Transportation,2011-09-30,10.233,10.233,10.233
Department of Transportation,2011-09-30,7,4.38,4.5
Department of Transportation,2012-09-30,20.08,20.08,19.41
Department of Transportation,2013-09-30,19.11,2.52,2.52
Department of Transportation,2012-09-30,9.68,9.68,9.68
Department of Transportation,2013-12-31,2.16,1.01,1.01
Department of Transportation,2013-06-30,10.66,7.81,10.65
Department of Transportation,2013-09-30,21.31,16.3,16.3
Department of Transportation,2013-09-30,1.603,0.81,0.81
Department of Transportation,2013-01-31,1.07,1.07,1.07
Department of Transportation,2012-09-30,1.33,1.33,1.33
Department of Transportation,2012-06-15,8.375249,6.42,7.801
Department of Transportation,2012-10-16,10.711439,2.018669,2.101
Department of Transportation,2013-01-24,8.36596,2.384877,2.5222
Department of Transportation,2012-10-16,6.593198,4.718453,5.418255
Department of Transportation,2012-10-18,11.902777,11.52772,11.958291
Department of Transportation,2012-10-16,9.401802,1.462152,1.457638
Department of Transportation,2012-10-16,4.955238,3.027898,4.298487
Department of Transportation,2012-10-16,5.971,1.613174,1.603866
Department of Transportation,2012-10-16,5.854571,5.651007,5.527039
Department of Transportation,2013-05-22,4.953508,1.843805,2.4629
Department of Transportation,2014-04-17,5.685,4.508,1.515
Department of Transportation,2014-04-30,6.061,5.75,5.75
Department of Transportation,2016-09-28,7.317,0.815237,0.815237
Department of Transportation,2014-04-30,7.346,7.346,7.346
Department of Transportation,2015-09-16,10.789,0.85988,0.85988
Department of Transportation,2014-06-30,6.424,5.816221,6.514221
Department of Transportation,2016-07-15,6.2,0.85,0.85
Department of Transportation,2011-04-04,0.198,0.184,0.208
Department of Transportation,2016-09-30,6.871,0.796,0.8
Department of Transportation,2012-09-28,5,5,5
Department of Transportation,2012-01-31,0.000002,0.000002,0.000002
Department of Transportation,2011-07-03,0.000001,0.000001,0.000001
Department of Transportation,2011-03-21,0.12,0.12,0.12
Department of Transportation,2011-05-20,0.000002,0.000002,0.000002
Department of Transportation,2011-10-31,0.25,0.13,0.13
Department of Transportation,2012-04-30,0.009104,0.009104,0.009104
Department of Transportation,2011-06-10,0.000002,0.000002,0.000002
Department of Transportation,2012-02-15,1.2,0.950001,0.950001
Department of Transportation,2012-09-28,0.000002,0.000002,0.000002
Department of Transportation,2012-09-28,0.05,0.05,0.05
Department of Transportation,2013-01-31,0.813,0.68,0.813
Department of Transportation,2012-09-28,5.047549,5.047549,5.04755
Department of Transportation,2013-09-30,10.5,0.8,0.8
Department of Transportation,2016-09-30,1,0.15,0.166261
Department of Transportation,2013-09-30,9,1.14,0.931425
Department of Transportation,2012-09-30,3.45,1.75,1.75
Department of Transportation,2011-12-31,3.1,3.1,3.1
Department of Transportation,2012-05-31,1.2,1.2,1.2
Department of Transportation,2013-02-28,64.6,64.6,64.6
Department of Transportation,2013-05-30,29.4,29.4,29.4
Department of Transportation,2012-07-31,5,5,5
Department of Transportation,2012-12-31,0.68,0.68,0.68
Department of Transportation,2014-03-31,4.9,0.36,0.36
Department of Transportation,2013-06-30,0.25,0.178478,0.178478
Department of Transportation,2012-01-10,3.95257,3.95257,3.835414
Department of Transportation,2013-03-26,5.419167,5.419166,5.419166
Department of Transportation,2013-08-13,12.128604,12.128604,12.128604
Department of Transportation,2014-04-12,2.188114,2.188114,2.188114
Department of Veterans Affairs,2014-09-30,19.42,7.102164,7.456649
Department of Veterans Affairs,2014-05-30,204.286,34.952687,24.194589
Department of Veterans Affairs,2014-01-30,11.947,4.846998,4.846998
Department of Veterans Affairs,2012-09-10,2.325,1.998856,1.998856
Department of Veterans Affairs,2012-09-26,16.867,9.029833,9.029833
Department of Veterans Affairs,2017-06-30,49.94,9.94,6.599346
Department of Veterans Affairs,2012-09-28,15.25,10.764566,10.764566
Department of Veterans Affairs,2012-10-31,5.101,2.28005,2.563318
Department of Veterans Affairs,2012-10-31,48.61,3.91,2.374144
Department of Veterans Affairs,2013-01-04,16.845,2.95118,2.146989
Department of Veterans Affairs,2014-09-24,23.767668,0.885,0.885
Department of Veterans Affairs,2014-03-31,2.043462,0.074,0.074
Department of Veterans Affairs,2016-11-07,20.914,4.59,4.59
Department of Veterans Affairs,2015-06-28,2.297604,1.6,1.6
Department of Veterans Affairs,2015-09-30,4.514,1.3395,1.3395
Department of Veterans Affairs,2013-09-30,2.1,0.7,0.7
Department of Veterans Affairs,2015-09-30,4.983,0.832,0.832
Department of Veterans Affairs,2012-01-10,0.839,0.359833,0.359833
Department of Veterans Affairs,2012-02-08,4.82,0.57982,1.837847
Department of Veterans Affairs,2012-10-26,12.159,2.602,2.565
Department of Veterans Affairs,2013-09-30,4.954,0.7,0.7
Department of Veterans Affairs,2015-09-30,4.983,0.832,0.832
Department of Veterans Affairs,2012-04-27,0.325,0.018,0.018
Department of Veterans Affairs,2014-01-08,38.67,2.099,2.64304
Department of Veterans Affairs,2017-09-29,62.629,7.997,7.997
Department of Veterans Affairs,2015-11-22,21.693,8.188884,8.188884
Department of Veterans Affairs,2013-09-13,12.081107,4.958169,4.958169
Department of Veterans Affairs,2013-09-30,8.024191,1.902214,1.911
Department of Veterans Affairs,2014-09-30,9.098994,3.129,2.894314
Department of Veterans Affairs,2014-09-30,8.389892,0.641874,0.592746
Department of Veterans Affairs,2016-09-30,38.69,2.86147,1.456034
Department of Veterans Affairs,2012-04-13,1.321277,0.148103,0.148103
Department of Veterans Affairs,2012-04-20,5.6,0.224559,0.292548
Department of Veterans Affairs,2015-09-30,2.368,0.748,0.748
Department of Veterans Affairs,2012-06-18,0.79091,0.395455,0.395455
Department of Veterans Affairs,2012-09-28,2.325672,1.105129,1.123318
Department of Veterans Affairs,2012-04-30,33.91,2.889,2.889
Department of Veterans Affairs,2012-05-10,1.385716,1.306335,1.306335
Department of Veterans Affairs,2012-12-26,10.697534,2.801735,2.801735
Department of Veterans Affairs,2012-07-30,0.888648,0.355459,0.355459
Department of Veterans Affairs,2012-02-05,0.797936,0.383968,0.383968
Department of Veterans Affairs,2012-05-25,1.235454,0.617727,0.617727
Department of Veterans Affairs,2012-07-27,1.642335,0.115206,0.119489
Department of Veterans Affairs,2011-11-18,11.42826,4.466133,4.466133
Department of Veterans Affairs,2011-11-18,10.249257,4.033832,4.033832
Department of Veterans Affairs,2012-03-30,7.717521,2.829758,2.829758
Department of Veterans Affairs,2012-03-23,4.010356,1.470464,1.470464
Department of Veterans Affairs,2012-01-30,3.205615,1.175392,1.175392
Department of Veterans Affairs,2011-01-11,8.851137,3.521188,3.521188
Department of Veterans Affairs,2013-09-13,3.065255,0.686028,0.686028
Department of Veterans Affairs,2013-09-13,12.826246,2.399168,2.399168
Department of Veterans Affairs,2013-09-13,8.158082,4.148072,4.148072
Department of Veterans Affairs,2013-09-30,2.901443,0.401758,0.421758
Department of Veterans Affairs,2013-11-02,23.558073,9.187418,9.187418
Department of Veterans Affairs,2013-10-31,18.328371,6.723726,6.723726
Department of Veterans Affairs,2013-12-16,11.991541,4.996476,4.996476
Department of Veterans Affairs,2013-10-31,23.707349,8.964968,8.964968
Department of Veterans Affairs,2013-10-31,23.707349,4.482484,4.482484
Department of Veterans Affairs,2013-03-29,68.69,15.687444,13.137819
Department of Veterans Affairs,2012-07-12,19.619,1.61,0.756378
Department of Veterans Affairs,2014-12-30,24.959,5.27,5.784626
Department of Veterans Affairs,2013-03-29,45.475,1.57313,5.26072
Department of Veterans Affairs,2012-09-28,6.486,2.666,2.2348
Department of Veterans Affairs,2012-02-28,1.73,0.9,0.9
Department of Veterans Affairs,2011-11-23,1.76,1.5,1.70772
Department of Veterans Affairs,2012-06-29,0.75,0.1875,0.1875
Department of Veterans Affairs,2013-07-24,82.314426,5.610721,5.610721
Department of Veterans Affairs,2011-11-18,55.7,2.41119,2.41119
Department of Veterans Affairs,2012-11-23,0.747285,0.747285,0.747285
Department of Veterans Affairs,2012-01-10,1.748,1.0016,1.0016
Department of Veterans Affairs,2012-03-30,4.168464,1.528437,1.528437
Department of Veterans Affairs,2014-07-31,122.23706,6.111853,6.111853
Department of Veterans Affairs,2013-02-28,5.686,3.59,3.59
Department of Veterans Affairs,2014-03-31,68.349438,11.072,11.072
Department of Veterans Affairs,2013-01-23,3.42035,3.42035,3.530468
Department of Veterans Affairs,2013-09-30,2.271706,0.817238,0.817238
Department of Veterans Affairs,2017-09-30,4.608063,0.584675,0.584675
Department of Veterans Affairs,2012-11-16,0.4,0.15,0.15
Department of Veterans Affairs,2013-09-30,8,1,1
Department of Veterans Affairs,2013-09-30,16,0.4,0.4
Department of Veterans Affairs,2012-09-28,2.939998,0.147,0.147
Department of Veterans Affairs,2012-09-28,2.939998,0.147,0.147
Department of Veterans Affairs,2013-01-25,2.178655,0.433,0.433
Department of Veterans Affairs,2013-01-25,2.178655,0.433,0.433
Department of Veterans Affairs,2013-01-25,2.178655,0.433,0.433
Department of Veterans Affairs,2013-01-25,2.178655,0.433,0.433
Department of Veterans Affairs,2013-01-25,2.178655,0.433,0.433
Department of Veterans Affairs,2013-01-25,2.178655,0.433,0.433
Department of Veterans Affairs,2013-01-25,2.178655,0.433,0.433
Department of Veterans Affairs,2012-12-21,3.5,3.3705,1141.5
Department of Veterans Affairs,2015-02-15,40.228,12.58,12.58
Department of Veterans Affairs,2017-05-30,55.677,5.348,5.348
Department of Veterans Affairs,2014-12-31,14,2.182,2.182
Department of Veterans Affairs,2012-09-28,5.094378,2.640574,2.532324
Department of Veterans Affairs,2016-09-30,337.672,15.3,14.961095
Department of Veterans Affairs,2012-09-29,9.462,2.55,2.55
Department of Veterans Affairs,2014-03-31,8.03,8,8
Department of Veterans Affairs,2013-09-30,8.404,3.902,2.039338
Department of Veterans Affairs,2012-10-15,2.1,0.1,0.1
Department of Veterans Affairs,2012-03-07,1.958668,0.91483,0.91483
Department of Veterans Affairs,2013-06-23,8.4308,1.358783,1.358783
Department of Veterans Affairs,2011-10-17,23.178888,20.860999,20.215944
Department of Veterans Affairs,2013-09-30,151.4,70.948,70.948
Department of Veterans Affairs,2012-09-30,43.752,0.427537,0.427537
Department of Veterans Affairs,2012-02-08,10.442333,8.91402,5.49115
Department of Veterans Affairs,2012-02-24,71.293646,45.858336,45.858336
Department of Veterans Affairs,2013-02-21,82.62749,82.62749,82.62749
Department of Veterans Affairs,2012-08-23,52.195877,52.195877,52.195877
Department of Veterans Affairs,2011-10-27,23.664,4,0.925359
Department of Veterans Affairs,2012-09-28,13.63564,13.028134,12.858793
Department of Veterans Affairs,2017-09-30,76.3,1.744313,1.744313
Department of Veterans Affairs,2012-09-18,22.981917,2.552,2.552
Department of Veterans Affairs,2012-02-03,0.54,0.249,0.249
Department of Veterans Affairs,2012-02-24,0.175,0.15,0.15
Department of Veterans Affairs,2013-03-25,3.249673,1.003416,1.07326
Department of Veterans Affairs,2012-09-28,2.6,2.6,2.6
Department of Veterans Affairs,2012-09-30,6.249673,1.89481,1.89481
Department of Veterans Affairs,2012-09-28,2.7,2.7,2.7
Department of Veterans Affairs,2014-01-04,18.051,0.431166,0.431166
Department of Veterans Affairs,2013-06-28,34.125,9.181281,7.260858
Department of Veterans Affairs,2013-09-30,25.825736,5.361704,5.361704
Department of Veterans Affairs,2013-06-14,7.563,1.2,1.2
Department of Veterans Affairs,2016-03-28,11.5,1.52,1.52
Department of Veterans Affairs,2015-12-30,16.148671,1.702256,1.702256
Department of Veterans Affairs,2012-10-15,38.603,1.688296,1.688296
Department of Veterans Affairs,2013-03-17,0.1459,0.118,0.118
Department of Veterans Affairs,2012-09-30,3.626,2.243,2.243
Department of Veterans Affairs,2013-08-11,5.679,0.502507,0.502507
Department of Veterans Affairs,2017-09-29,51.128,2.332,2.20957
Department of Veterans Affairs,2012-12-31,40.710699,26.043431,26.387298
Department of Veterans Affairs,2017-09-29,89.512,4.005,4.005
Department of Veterans Affairs,2012-12-31,7.684208,6.281751,6.598981
Department of Veterans Affairs,2015-09-30,55,7.399836,7.399836
Department of Veterans Affairs,2012-12-31,9.413399,9.203586,9.515596
Department of Veterans Affairs,2012-01-05,3.506,2.96,2.96
Department of Veterans Affairs,2012-01-10,0.63725,0.55,0.546875
Department of Veterans Affairs,2015-09-30,8.923,2.576605,2.501089
Department of Veterans Affairs,2015-09-30,30.49,2.97375,2.97375
Department of Veterans Affairs,2014-09-30,47.256105,0.177984,0.177984
Department of Veterans Affairs,2012-11-18,67.026,9.05,9.05
Department of Veterans Affairs,2011-12-30,3.582984,1.702803,1.702803
Department of Veterans Affairs,2016-09-30,114.572699,13.163177,13.130645
Department of Veterans Affairs,2015-09-30,15.665358,3.933,3.933
Department of Veterans Affairs,2015-09-30,93.055742,21.932999,21.932999
Department of Veterans Affairs,2015-09-30,11.356,3.649,3.649
Department of Veterans Affairs,2013-01-11,24.634,3.108,3.108
Department of Veterans Affairs,2015-09-30,6.65958,1.05,1.801909
Department of Veterans Affairs,2015-09-30,28.349266,7.858,7.858
